№,Символ,,,,,,,,,,,,,,,,,K,L,,M,,,N,,,,O,,,,P,,,Q,Металлы,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s,s,p,s,p,d,s,p,d,f,s,p,d,f,s,p,d,s,,,,,,,,,,,,,,,,,,
,,Название,Латинское название,Как читается,Спектр,"
Период","
Группа","Атомная масса
(г/моль)","Плотность,
г/см³
(при 20 °C)","Температура 
плавления
(°C)","Температура 
кипения 
(°C)","Удельное 
электрическое 
сопротивление","Электрическая 
проводимость","Магнитная 
проницаемость",p,n,e,1,2,,3,,,4,,,,5,,,,6,,,7,Металлы,Щелочные,Щелочноземельные,Переходные,Парамагнетики,Ферримагнетики,Ферромагнетики,Лантаноиды,Актиноиды,Диамагнетики,Полуметаллы,Неметаллы,Антиферромагнетики,Пниктогены,Халькогены,Галогены,Инертный газ,Редкоземельные
23,V,Ванадий,Vanadium,Ванадий,,4,5,"50,9415","6,09",1890,3380,,,,23,28,23,2,2,6,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Cr,Хром,Chromium,Хром,,4,6,"51,9961","7,14",1857,2482,,,,24,28,24,2,2,6,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mn,Марганец,"Manganum,
Manganesium",Марганец,,4,7,"54,938045","7,44",1244,2097,,,,25,30,25,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Fe,Железо,Ferrum,Феррум,,4,8,"55,845","7,87",1535,2750,,,,26,30,26,2,2,6,2,6,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
27,Co,Кобальт,Cobaltum,Кобальт,,4,9,"58,933195","8,89",1495,2870,,,,27,32,27,2,2,6,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Ni,Никель,Niccolum,Никель,,4,10,"58,6934","8,91",1453,2732,,,,28,31,28,2,2,6,2,6,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Cu,Медь,Cuprum,Купрум,,4,11,"63,546","8,92","1083,5",2595,,,,29,35,29,2,2,6,2,6,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Zn,Цинк,Zincum,Цинк,,4,12,"65,409","7,14","419,6",907,,,,30,35,30,2,2,6,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Ga,Галлий,Gallium,Галлий,,4,13,"69,723","5,91","29,8",2403,,,,31,39,31,2,2,6,2,6,10,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Ge,Германий,Germanium,Германий,,4,14,"72,64","5,32","937,4",2830,,,,32,41,32,2,2,6,2,6,10,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33,As,Мышьяк,Arsenicum,Арсеникум,,4,15,"74,9216","5,72",613,613,,,,33,42,33,2,2,6,2,6,10,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
34,Se,Селен,Selenium,Селен,,4,16,"78,96","4,82",217,685,,,,34,45,34,2,2,6,2,6,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35,Br,Бром,Bromum,Бром,,4,17,"79,904","3,14","-7,3","58,8",,,,35,45,35,2,2,6,2,6,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36,Kr,Криптон,"Krypton, Crypton",Криптон,,4,18,"83,798","3,48 г/л","-156,6","-152,3",,,,36,48,36,2,2,6,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,Rb,Рубидий,Rubidium,Рубидий,,5,1,"85,4678","1,53",39,688,,,,37,48,37,2,2,6,2,6,10,2,6,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sr,Стронций,Strontium,Стронций,,5,2,"87,62","2,63",769,1384,,,,38,50,38,2,2,6,2,6,10,2,6,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Y,Иттрий,Yttrium,Иттрий,,5,3,"88,90585","4,47",1523,3337,,,,39,50,39,2,2,6,2,6,10,2,6,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Zr,Цирконий,Zirconium,Цирконий,,5,4,"91,224","6,51",1852,4377,,,,40,51,40,2,2,6,2,6,10,2,6,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Nb,Ниобий,Niobium,Ниобий,,5,5,"92,90638","8,58",2468,4927,,,,41,52,41,2,2,6,2,6,10,2,6,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Mo,Молибден,Molybdaenum,Молибден,,5,6,"95,94","10,28",2617,5560,,,,42,54,42,2,2,6,2,6,10,2,6,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Tc,Технеций,Technetium,Технеций,,5,7,"98,9063","11,49",2172,5030,,,,43,56,43,2,2,6,2,6,10,2,6,5,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Ru,Рутений,Ruthenium,Рутений,,5,8,"101,07","12,45",2310,3900,,,,44,57,44,2,2,6,2,6,10,2,6,7,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Rh,Родий,Rhodium,Родий,,5,9,"102,9055","12,41",1966,3727,,,,45,58,45,2,2,6,2,6,10,2,6,8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Pd,Палладий,Palladium,Палладий,,5,10,"106,42","12,02",1552,3140,,,,46,60,46,2,2,6,2,6,10,2,6,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
